"Country (Voters (vertical), Finalists (horizontal))",Albania,Azerbaijan,Belgium,Bulgaria,Cyprus,Finland,France,Germany,Greece,Iceland,Israel,Italy,Lithuania,Malta,Moldova,Netherlands,Norway,Portugal,Russia,San Marino,Serbia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
Albania,0,0,0,0,7,3,10,0,6,0,0,4,0,8,0,0,0,0,0,5,1,0,0,12,0,0
Australia,0,6,0,2,4,0,7,0,0,8,0,6,0,12,0,3,0,0,1,0,0,0,0,10,5,0
Austria,0,0,0,5,0,1,8,2,0,12,0,6,0,4,0,3,0,7,0,0,0,0,0,10,0,0
Azerbaijan,0,0,3,1,0,0,4,0,10,0,0,0,0,7,8,0,0,2,12,0,0,0,5,0,6,0
Belgium,0,0,0,6,0,8,0,0,0,3,0,2,0,5,0,0,0,1,7,0,0,0,4,12,10,0
Bulgaria,0,0,0,0,0,1,7,0,8,0,3,10,0,5,12,2,0,6,0,0,0,4,0,0,0,0
Croatia,0,0,0,0,0,0,6,0,0,10,5,12,2,3,0,0,0,1,4,0,7,0,0,8,0,0
Cyprus,0,2,4,5,0,3,7,0,12,0,0,8,0,10,0,0,0,1,6,0,0,0,0,2,0,0
Czechia,0,8,3,4,0,1,10,0,0,8,0,6,0,7,0,0,0,12,2,0,0,0,0,5,0,0
Denmark,7,0,0,6,0,8,0,0,0,10,1,0,0,4,0,0,3,0,0,5,0,0,2,12,0,0
Estonia,0,0,0,6,0,7,10,0,0,8,0,3,2,1,0,0,0,5,0,0,0,0,0,12,4,0
Finland,0,0,0,10,0,0,7,0,2,8,0,6,3,1,0,0,0,0,4,0,0,0,5,12,0,0
France,0,2,6,0,2,0,0,0,12,3,5,0,0,0,0,0,0,8,10,4,0,0,1,7,0,0
Georgia,0,0,0,4,0,0,0,0,0,6,0,12,3,1,0,2,0,8,0,0,0,0,0,10,7,0
Germany,0,0,0,0,7,0,12,0,0,3,0,6,1,8,0,0,0,0,2,0,0,0,4,10,5,0
Greece,0,0,3,8,12,0,5,0,0,0,0,4,0,6,10,0,0,0,2,7,0,0,0,0,1,0
Iceland,0,0,0,8,0,5,6,0,4,0,0,7,0,1,0,0,0,10,2,0,0,0,0,12,3,0
Ireland,0,0,3,1,0,0,12,0,0,8,0,0,4,10,0,0,7,0,0,0,0,0,0,5,6,0
Israel,0,2,6,1,3,0,8,0,0,0,0,0,10,5,0,0,0,0,7,0,0,0,0,12,4,0
Italy,0,0,5,0,0,10,3,0,0,8,4,0,12,7,0,0,2,6,0,0,0,0,0,0,1,0
Latvia,0,0,0,5,0,4,3,0,0,10,0,8,6,2,0,0,0,0,1,0,0,0,0,12,7,0
Lithuania,0,0,7,2,0,0,5,0,0,4,1,10,0,3,0,0,0,6,0,0,0,0,0,8,12,0
Malta,12,0,0,0,4,2,3,0,6,0,0,0,0,0,0,0,0,7,0,1,0,0,8,10,5,0
Moldova,0,2,0,12,1,0,4,0,8,5,0,0,0,7,0,0,0,2,10,0,0,0,0,3,0,0
Netherlands,1,0,6,0,0,0,12,0,0,10,4,0,0,7,0,0,0,0,8,0,0,0,0,5,3,0
North Macedonia,0,0,0,0,2,0,7,0,0,4,8,10,0,5,0,0,0,0,1,0,12,0,3,6,0,0
Norway,0,0,0,6,0,0,4,0,1,2,8,5,0,12,0,0,0,0,0,0,0,0,10,7,3,0
Poland,0,0,3,0,0,2,0,0,0,10,6,5,0,4,0,0,0,8,1,12,0,0,0,7,0,0
Portugal,0,0,5,12,0,0,6,0,0,8,0,3,0,4,0,1,0,0,10,0,0,0,0,7,2,0
Romania,0,0,0,2,0,8,4,1,0,0,0,3,0,12,6,0,0,10,0,0,0,0,0,7,5,0
Russia,0,0,3,6,2,0,0,0,7,0,5,10,0,4,12,0,0,0,0,0,0,0,0,1,0,0
San Marino,2,0,0,3,0,1,12,0,8,0,0,10,6,7,5,0,0,0,0,0,0,0,0,4,0,0
Serbia,0,2,0,6,0,10,12,0,3,7,2,8,0,0,0,0,0,5,0,0,0,0,4,1,0,0
Slovenia,0,5,6,0,0,4,2,0,3,10,1,12,0,5,0,0,0,0,8,0,0,0,0,7,0,0
Spain,0,0,0,4,6,0,12,0,1,7,3,0,2,8,0,0,0,5,0,0,0,0,0,10,0,0
Sweden,0,0,1,0,0,0,6,0,0,7,4,10,0,12,0,0,2,0,3,0,0,0,0,5,8,0
Switzerland,0,3,0,10,0,1,12,0,0,5,0,8,4,6,0,0,0,7,3,0,0,0,0,0,0,0
Ukraine,0,0,6,0,0,0,10,0,0,4,7,12,0,5,0,0,1,2,0,0,0,0,0,8,0,0
United Kingdom,0,0,1,5,0,4,12,0,0,10,6,0,0,0,0,0,0,7,0,3,0,2,0,8,0,0
