"Country (Voters (vertical), Finalists (horizontal))",Albania,Azerbaijan,Belgium,Bulgaria,Cyprus,Finland,France,Germany,Greece,Iceland,Israel,Italy,Lithuania,Malta,Moldova,Netherlands,Norway,Portugal,Russia,San Marino,Serbia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
Israel,0,2,0,0,0,4,8,0,0,1,0,7,3,5,0,0,0,0,10,0,0,0,0,6,12,0
Poland,0,0,0,0,0,6,5,0,0,8,0,10,4,0,0,0,3,0,2,0,0,0,1,7,12,0
San Marino,0,0,0,2,8,4,10,0,7,0,0,12,0,0,6,0,0,0,1,0,0,0,0,3,5,0
Albania,0,0,0,5,2,3,6,0,8,0,0,10,0,0,7,0,0,0,0,0,0,0,1,12,4,0
Malta,0,0,0,0,2,7,3,0,0,5,0,12,6,0,0,0,10,0,0,0,4,0,8,0,1,0
Estonia,0,0,0,0,0,12,7,0,0,3,0,8,10,0,0,0,4,0,6,0,0,0,1,2,5,0
North Macedonia,10,3,0,0,6,2,5,0,0,0,0,8,0,0,0,0,0,0,1,0,12,0,0,7,4,0
Azerbaijan,0,0,0,0,0,5,2,0,0,0,12,10,0,0,1,0,7,0,6,3,0,0,0,4,8,0
Norway,0,1,0,0,0,6,4,0,0,10,0,7,12,3,0,0,0,0,0,0,0,0,8,2,5,0
Spain,0,0,0,8,0,2,12,0,0,5,0,10,4,3,0,0,0,1,0,0,0,0,0,7,6,0
Austria,0,0,0,0,0,4,6,0,0,10,0,8,3,2,0,0,1,0,0,0,12,0,0,5,7,0
United Kingdom,0,0,0,8,0,7,5,0,0,10,0,3,12,6,0,0,2,0,0,0,0,0,0,1,4,0
Italy,10,0,0,0,0,8,1,0,0,6,0,0,5,0,2,0,0,0,7,3,4,0,0,0,12,0
Slovenia,0,0,0,0,0,4,6,0,8,3,0,10,0,0,0,0,2,0,1,0,12,0,0,5,7,0
Greece,7,2,0,0,12,6,8,0,0,0,0,10,0,3,0,0,0,0,1,0,0,0,0,4,5,0
Latvia,0,0,0,0,0,8,3,0,0,5,0,7,12,0,0,0,2,0,10,0,0,0,1,4,6,0
Ireland,0,0,0,0,0,5,7,0,0,10,0,6,12,4,0,0,0,2,0,0,0,0,1,3,8,0
Moldova,0,1,0,0,0,5,6,0,7,0,0,8,2,0,0,0,0,0,12,0,0,0,3,4,10,0
Serbia,0,4,0,0,2,7,10,0,3,5,0,12,0,0,0,0,0,0,6,0,0,0,0,1,8,0
Bulgaria,0,4,0,0,0,8,10,0,2,0,0,12,0,0,0,0,0,0,7,0,5,0,1,3,6,0
Cyprus,0,0,0,7,0,4,8,0,12,0,2,10,5,1,0,0,0,0,3,0,0,0,0,0,6,0
Belgium,0,0,0,0,0,6,12,0,0,5,0,8,7,2,0,0,1,0,0,0,0,0,3,4,10,0
Germany,0,0,0,0,0,8,10,0,0,6,0,7,12,0,0,0,1,0,5,0,3,0,0,2,4,0
Australia,0,0,0,0,0,3,4,0,0,12,0,7,6,8,0,0,1,0,0,0,2,0,0,5,10,0
Finland,0,0,0,0,0,0,6,0,0,12,0,8,5,0,2,0,4,0,1,0,0,0,3,7,10,0
Portugal,0,0,0,0,0,5,12,0,2,3,0,7,0,0,8,0,0,0,1,0,0,0,4,6,10,0
Ukraine,0,3,1,0,0,8,5,0,0,6,0,12,10,0,0,0,0,0,4,0,0,0,2,7,0,0
Iceland,0,0,0,0,0,12,7,0,0,0,0,5,4,3,0,0,1,2,0,0,0,0,10,6,8,0
Romania,0,4,0,0,0,6,8,0,0,0,1,10,3,2,12,0,0,0,0,0,0,0,0,5,7,0
Croatia,1,2,0,0,0,6,7,0,0,4,0,10,0,0,0,0,0,0,3,0,12,0,0,5,8,0
Czechia,0,0,0,0,0,4,2,0,8,7,0,6,1,0,12,0,0,0,5,0,0,0,0,3,10,0
Georgia,0,3,0,0,0,0,5,0,12,1,0,8,10,0,2,0,0,0,4,7,0,0,0,0,6,0
Lithuania,0,0,2,0,0,7,8,0,0,3,0,10,0,0,0,0,5,0,4,0,0,0,1,6,12,0
Denmark,0,0,0,0,0,7,3,0,0,12,0,5,4,2,0,0,8,0,0,0,0,0,10,6,1,0
Russia,0,4,0,0,12,8,6,0,0,1,0,10,2,0,3,0,0,0,0,0,0,0,0,5,7,0
France,0,0,0,0,0,1,0,0,0,4,5,10,0,0,7,0,0,8,0,0,3,0,2,6,12,0
Sweden,0,0,0,0,0,12,6,0,0,10,0,3,7,2,0,0,8,0,0,0,1,0,0,5,4,0
Switzerland,7,0,0,0,0,4,6,0,0,5,0,10,1,0,0,0,0,8,0,0,12,0,3,0,2,0
Netherlands,0,0,0,0,0,4,12,0,10,8,0,2,3,1,0,0,0,6,0,0,0,0,0,7,5,0
