Source Country,Country,points,Total
Albania,Albania,0,184
Albania,Australia,0,99
Albania,Austria,2,342
Albania,Bulgaria,14,166
Albania,Cyprus,20,436
Albania,Czech Republic,1,281
Albania,Denmark,0,226
Albania,Estonia,4,245
Albania,Finland,0,46
Albania,France,12,173
Albania,Germany,14,340
Albania,Hungary,0,93
Albania,Ireland,7,136
Albania,Israel,6,529
Albania,Italy,24,308
Albania,Lithuania,0,181
Albania,Moldova,2,209
Albania,Norway,0,144
Albania,Portugal,0,39
Albania,Serbia,3,113
Albania,Slovenia,0,64
Albania,Spain,0,61
Albania,Sweden,4,274
Albania,The Netherlands,0,121
Albania,Ukraine,0,130
Albania,United Kingdom,3,48
Armenia,Albania,0,184
Armenia,Australia,2,99
Armenia,Austria,7,342
Armenia,Bulgaria,0,166
Armenia,Cyprus,19,436
Armenia,Czech Republic,14,281
Armenia,Denmark,0,226
Armenia,Estonia,2,245
Armenia,Finland,0,46
Armenia,France,9,173
Armenia,Germany,5,340
Armenia,Hungary,0,93
Armenia,Ireland,0,136
Armenia,Israel,18,529
Armenia,Italy,3,308
Armenia,Lithuania,0,181
Armenia,Moldova,11,209
Armenia,Norway,7,144
Armenia,Portugal,0,39
Armenia,Serbia,0,113
Armenia,Slovenia,0,64
Armenia,Spain,0,61
Armenia,Sweden,12,274
Armenia,The Netherlands,3,121
Armenia,Ukraine,4,130
Armenia,United Kingdom,0,48
Australia,Albania,0,184
Australia,Australia,0,99
Australia,Austria,5,342
Australia,Bulgaria,0,166
Australia,Cyprus,7,436
Australia,Czech Republic,4,281
Australia,Denmark,10,226
Australia,Estonia,8,245
Australia,Finland,4,46
Australia,France,0,173
Australia,Germany,12,340
Australia,Hungary,0,93
Australia,Ireland,12,136
Australia,Israel,18,529
Australia,Italy,0,308
Australia,Lithuania,3,181
Australia,Moldova,7,209
Australia,Norway,1,144
Australia,Portugal,0,39
Australia,Serbia,0,113
Australia,Slovenia,0,64
Australia,Spain,7,61
Australia,Sweden,12,274
Australia,The Netherlands,0,121
Australia,Ukraine,0,130
Australia,United Kingdom,6,48
Austria,Albania,9,184
Austria,Australia,0,99
Austria,Austria,0,342
Austria,Bulgaria,6,166
Austria,Cyprus,1,436
Austria,Czech Republic,15,281
Austria,Denmark,5,226
Austria,Estonia,2,245
Austria,Finland,0,46
Austria,France,0,173
Austria,Germany,16,340
Austria,Hungary,3,93
Austria,Ireland,8,136
Austria,Israel,19,529
Austria,Italy,10,308
Austria,Lithuania,0,181
Austria,Moldova,0,209
Austria,Norway,0,144
Austria,Portugal,0,39
Austria,Serbia,8,113
Austria,Slovenia,5,64
Austria,Spain,0,61
Austria,Sweden,8,274
Austria,The Netherlands,1,121
Austria,Ukraine,0,130
Austria,United Kingdom,0,48
Azerbaijan,Albania,12,184
Azerbaijan,Australia,0,99
Azerbaijan,Austria,0,342
Azerbaijan,Bulgaria,6,166
Azerbaijan,Cyprus,14,436
Azerbaijan,Czech Republic,6,281
Azerbaijan,Denmark,0,226
Azerbaijan,Estonia,3,245
Azerbaijan,Finland,0,46
Azerbaijan,France,0,173
Azerbaijan,Germany,5,340
Azerbaijan,Hungary,8,93
Azerbaijan,Ireland,0,136
Azerbaijan,Israel,13,529
Azerbaijan,Italy,5,308
Azerbaijan,Lithuania,0,181
Azerbaijan,Moldova,11,209
Azerbaijan,Norway,7,144
Azerbaijan,Portugal,0,39
Azerbaijan,Serbia,10,113
Azerbaijan,Slovenia,0,64
Azerbaijan,Spain,0,61
